"name","pname","version","patches","system","out","outputs","store_path","cpe","purl","urls"
"acl-2.3.2","acl","2.3.2","","x86_64-linux","/nix/store/fwfpzqrvzhpjp91rbnq64z07diyicbwh-acl-2.3.2","['/nix/store/fwfpzqrvzhpjp91rbnq64z07diyicbwh-acl-2.3.2']","/nix/store/inml62h6c54frrlb3pwiq1asmk6l3gfz-acl-2.3.2.drv","cpe:2.3:a:xfs:acl:2.3.2:*:*:*:*:*:*:*","pkg:nix/acl@2.3.2",""
"attr-2.5.2","attr","2.5.2","/nix/store/wc9c8k7z5w5afdqvz7gjrjlaqf16wfpr-musl.patch","x86_64-linux","/nix/store/12qcfbv6bgmxi1jd2dcddy25ijpcgj60-attr-2.5.2","['/nix/store/12qcfbv6bgmxi1jd2dcddy25ijpcgj60-attr-2.5.2']","/nix/store/a9x2q6cvqx3f887x96nnsngabk21s1rh-attr-2.5.2.drv","cpe:2.3:a:attr:attr:2.5.2:*:*:*:*:*:*:*","pkg:nix/attr@2.5.2",""
"bash-5.3p3","bash","5.3p3","/nix/store/0j41vs0ajmjn81i1mwhgvi24rr5hi4aa-bash53-001 /nix/store/6iygjlcf64ryrg6jryk6qrjfxxz2i6q8-bash53-002 /nix/store/bm2dknmrjbsd49idcliys6gyalnbd90i-bash53-003 /nix/store/yq0lz1byj4v2rym2ng23a3nj4n6pvqdj-pgrp-pipe-5.patch","x86_64-linux","/nix/store/rlq03x4cwf8zn73hxaxnx0zn5q9kifls-bash-5.3p3","['/nix/store/rlq03x4cwf8zn73hxaxnx0zn5q9kifls-bash-5.3p3']","/nix/store/vwmk63kc9sysjif65h7fdwnqr5h8jfm6-bash-5.3p3.drv","cpe:2.3:a:gnu:bash:5.3p3:*:*:*:*:*:*:*","pkg:nix/bash@5.3p3",""
"binutils-2.44","binutils","2.44","/nix/store/sqbhaaayam0xw3a3164ks1vvbrdhl9vq-deterministic.patch /nix/store/xrw086zw3xqsvy9injgil8n2qdkvkpff-0001-Revert-libtool.m4-fix-the-NM-nm-over-here-B-option-w.patch /nix/store/0df8rz15sp4ai6md99q5qy9lf0srji5z-0001-Revert-libtool.m4-fix-nm-BSD-flag-detection.patch /nix/store/pa83jbilxjpv5d4f62l3as4wg2fri7r7-always-search-rpath.patch /nix/store/rf3kjgy7pbvymp55hxw28dg5g937lmcv-plugins-no-BINDIR.patch /nix/store/awl9cirmdhg3la4fgcd9hs1fdn7ifqr0-0001-libtool.m4-update-macos-version-detection-block.patch /nix/store/xsknmwfnbkh1m643isys7f61z93k5rp0-avr-size.patch /nix/store/d6jzf3bhlvbcm08m0d0fvqv1xw8s2vq7-windres-locate-gcc.patch /nix/store/bd12hf82k0sqka3rwis91fi7vfhgqy2l-CVE-2025-5244.diff /nix/store/q1h4sripay9b2vp64nfwk879a8p2z413-CVE-2025-5245.diff","x86_64-linux","/nix/store/dc9vaz50jg7mibk9xvqw5dqv89cxzla3-binutils-2.44","['/nix/store/dc9vaz50jg7mibk9xvqw5dqv89cxzla3-binutils-2.44', '/nix/store/rmv4h4x475k2p321ln3pd0ddng7vv8k6-binutils-2.44-lib']","/nix/store/nny9jdip1v1803lglmlbpvk3kbvkgl75-binutils-2.44.drv","cpe:2.3:a:gnu:binutils:2.44:*:*:*:*:*:*:*","pkg:nix/binutils@2.44",""
"binutils-wrapper-2.44","binutils-wrapper","2.44","","x86_64-linux","/nix/store/xwydcyvlsa3cvssk0y5llgdhlhjvmqdm-binutils-wrapper-2.44","['/nix/store/xwydcyvlsa3cvssk0y5llgdhlhjvmqdm-binutils-wrapper-2.44']","/nix/store/ghgi1m8mvwahdazvd87829gsyaixhdp0-binutils-wrapper-2.44.drv","cpe:2.3:a:binutils-wrapper:binutils-wrapper:2.44:*:*:*:*:*:*:*","pkg:nix/binutils-wrapper@2.44",""
"brotli-1.1.0","brotli","1.1.0","/nix/store/97zv8kqclazyckapna88q8fx13bxb3vp-revert-runpath.patch","x86_64-linux","/nix/store/yqnk9l97ppx2kz65wrkk5mzxi0jixkaf-brotli-1.1.0","['/nix/store/v8czfabwiry1aik0j3b4mqkqvn7vnxfi-brotli-1.1.0-lib']","/nix/store/j65ir8dk6nl69j79gsl4qq5x193ml0vd-brotli-1.1.0.drv","cpe:2.3:a:google:brotli:1.1.0:*:*:*:*:*:*:*","pkg:nix/brotli@1.1.0",""
"c-ares-1.34.5","c-ares","1.34.5","","x86_64-linux","/nix/store/27r2vkndmz7q6gni64l84j46igsz7km4-c-ares-1.34.5","['/nix/store/27r2vkndmz7q6gni64l84j46igsz7km4-c-ares-1.34.5']","/nix/store/f8dsxfvvf1wlgqlxacj9mjk45p7ajk8r-c-ares-1.34.5.drv","cpe:2.3:a:c-ares:c-ares:1.34.5:*:*:*:*:*:*:*","pkg:nix/c-ares@1.34.5",""
"coreutils-9.8","coreutils","9.8","/nix/store/02f9qyjmkcak2ywwzb3571n0mggj8g58-tail.patch /nix/store/gmgzj0bgxnpzrcb6n4wn3h965v18brmx-cp-1.patch /nix/store/684dl45bs9f7iij1vl7dfg4zms710zhy-cp-2.patch /nix/store/1qs5dym4930r8r59n0d9dcfyva654bz8-cp-3.patch","x86_64-linux","/nix/store/imad8dvhp77h0pjbckp6wvmnyhp8dpgg-coreutils-9.8","['/nix/store/imad8dvhp77h0pjbckp6wvmnyhp8dpgg-coreutils-9.8']","/nix/store/m507z3g5zq4lv5x99rqb6dfdh5m0xixx-coreutils-9.8.drv","cpe:2.3:a:gnu:coreutils:9.8:*:*:*:*:*:*:*","pkg:nix/coreutils@9.8",""
"curl-8.17.0","curl","8.17.0","","x86_64-linux","/nix/store/8idis3j5l13c3x74jl8xly0k4qyk9mx6-curl-8.17.0","['/nix/store/8idis3j5l13c3x74jl8xly0k4qyk9mx6-curl-8.17.0']","/nix/store/nxfmgcdlh44nnd17z62r7588waj6lqln-curl-8.17.0.drv","cpe:2.3:a:curl:curl:8.17.0:*:*:*:*:*:*:*","pkg:nix/curl@8.17.0",""
"cyrus-sasl-2.1.28","cyrus-sasl","2.1.28","/nix/store/4cs2xpz2bw1z5irmzcrymc0jidcpp1hd-cyrus-sasl-ac-try-run-fix.patch /nix/store/ql15rqbhpk2cahjgvjx1a6bwdd0v2zvk-cb549ef71c5bb646fe583697ebdcaba93267a237...dfaa62392e7caecc6ecf0097b4d73738ec4fc0a8.patch","x86_64-linux","/nix/store/669vkv3svmr1yq9g6xlxkljizf3ax9rr-cyrus-sasl-2.1.28","['/nix/store/669vkv3svmr1yq9g6xlxkljizf3ax9rr-cyrus-sasl-2.1.28']","/nix/store/g9n0j461in2dpmrhc2zlb9cl66x0j24g-cyrus-sasl-2.1.28.drv","cpe:2.3:a:cyrus-sasl:cyrus-sasl:2.1.28:*:*:*:*:*:*:*","pkg:nix/cyrus-sasl@2.1.28",""
"db-5.3.28","db","5.3.28","/nix/store/p56njrk3dmlrjy3ah8c36swji3kiym60-clang-5.3.patch /nix/store/ky3k9vamivjyji36043nrkz194l7966g-CVE-2017-10140-cwd-db_config.patch /nix/store/w1si7nrykydfkxrcfhhf7yl3c2x2kfdc-darwin-mutexes.patch","x86_64-linux","/nix/store/xrrdz9ryg5acvafws5s1dc2x0rb0y3ds-db-5.3.28","['/nix/store/xrrdz9ryg5acvafws5s1dc2x0rb0y3ds-db-5.3.28']","/nix/store/55gd4wj3c7hmypfg5xqngyl6i69hkz1a-db-5.3.28.drv","cpe:2.3:a:db:db:5.3.28:*:*:*:*:*:*:*","pkg:nix/db@5.3.28",""
"expand-response-params","expand-response-params","","","x86_64-linux","/nix/store/wk01h0i1j91ph18b2kzlf213ixb9wq0k-expand-response-params","['/nix/store/wk01h0i1j91ph18b2kzlf213ixb9wq0k-expand-response-params']","/nix/store/0ilqprk5xza29cw04fv7pfzd5x99gxia-expand-response-params.drv","cpe:2.3:a:expand-response-params:expand-response-params::*:*:*:*:*:*:*","pkg:nix/expand-response-params",""
"gcc-14.3.0","gcc","14.3.0","/nix/store/9577hmdlmhki67cg8ar85cvidyg7xr7p-gcc-12-no-sys-dirs.patch /nix/store/7x6bimj6ipi6ag859gi2fc6by87x37j7-no-sys-dirs-riscv.patch /nix/store/xpplvxiwb4li2qd5nvhyd2mngrpna0ya-mangle-NIX_STORE-in-__FILE__.patch /nix/store/632b0y5mkcdwbsw2g3xh5qznw2vv5axr-ppc-musl.patch /nix/store/3cj8qm3xjz1g5f7qnnxlc95i9imkicbk-cfi_startproc-reorder-label-14-1.diff","x86_64-linux","/nix/store/kzq78n13l8w24jn8bx4djj79k5j717f1-gcc-14.3.0","['/nix/store/kzq78n13l8w24jn8bx4djj79k5j717f1-gcc-14.3.0', '/nix/store/shs2lyjm5yv7fmg4pwyvrlv9zr4macmv-gcc-14.3.0-libgcc', '/nix/store/xm08aqdd7pxcdhm0ak6aqb1v7hw5q6ri-gcc-14.3.0-lib']","/nix/store/0230mn72rcg3jxz11gffnc2anvrrd1x4-gcc-14.3.0.drv","cpe:2.3:a:gcc:gcc:14.3.0:*:*:*:*:*:*:*","pkg:nix/gcc@14.3.0",""
